Season,TeamName,BoxscoreIndex
2020,UAB,2019-12-17-20-alabama-birmingham
2020,UAB,2019-12-21-17-alabama-state
2020,UAB,2019-12-22-14-alabama-birmingham
2020,UAB,2019-12-28-14-alabama-birmingham
2020,UAB,2020-01-02-19-charlotte
2020,UAB,2020-01-04-19-old-dominion
2020,UAB,2020-01-09-20-alabama-birmingham
2020,UAB,2020-01-11-20-alabama-birmingham
2020,UAB,2020-01-16-19-florida-international
2020,UAB,2020-01-18-16-florida-atlantic
2020,UAB,2020-01-23-20-alabama-birmingham
2020,UAB,2020-01-25-15-alabama-birmingham
2020,UAB,2020-01-30-20-texas-san-antonio
2020,UAB,2020-02-01-21-texas-el-paso
2020,UAB,2020-02-06-20-alabama-birmingham
2020,UAB,2020-02-08-14-alabama-birmingham
2020,UAB,2020-02-12-20-alabama-birmingham
2020,UAB,2020-02-15-15-middle-tennessee
2020,UAB,2020-02-22-19-florida-atlantic
2020,UAB,2020-02-27-20-alabama-birmingham
2020,UAB,2020-03-01-15-texas-san-antonio
2020,UAB,2020-03-07-20-alabama-birmingham
2020,UAB,2020-03-11-21-alabama-birmingham
2020,Alabama State,2019-11-05-20-gonzaga
2020,Alabama State,2019-11-10-15-missouri-state
2020,Alabama State,2019-11-12-20-houston
2020,Alabama State,2019-11-20-19-tennessee
2020,Alabama State,2019-11-25-19-virginia-commonwealth
2020,Alabama State,2019-11-29-14-chattanooga
2020,Alabama State,2019-11-30-11-alabama-state
2020,Alabama State,2019-12-09-20-south-dakota
2020,Alabama State,2019-12-11-20-kansas-state
2020,Alabama State,2019-12-14-18-boise-state
2020,Alabama State,2019-12-21-17-alabama-state
2020,Alabama State,2019-12-22-12-alabama-state
2020,Alabama State,2019-12-29-16-oregon
2020,Alabama State,2020-01-04-18-jackson-state
2020,Alabama State,2020-01-06-20-grambling
2020,Alabama State,2020-01-11-19-alabama-state
2020,Alabama State,2020-01-13-20-alabama-state
2020,Alabama State,2020-01-18-18-alabama-am
2020,Alabama State,2020-01-25-18-southern
2020,Alabama State,2020-01-27-20-alcorn-state
2020,Alabama State,2020-02-01-18-alabama-state
2020,Alabama State,2020-02-03-20-alabama-state
2020,Alabama State,2020-02-08-17-mississippi-valley-state
2020,Alabama State,2020-02-10-20-arkansas-pine-bluff
2020,Alabama State,2020-02-15-18-alabama-state
2020,Alabama State,2020-02-22-18-alabama-state
2020,Alabama State,2020-02-24-20-alabama-state
2020,Alabama State,2020-02-29-18-prairie-view
2020,Alabama State,2020-03-02-20-texas-southern
2020,Alabama State,2020-03-05-20-alabama-state
2020,Alabama State,2020-03-07-18-alabama-state
2020,Alabama State,2020-03-10-20-southern
2020,Alabama,2019-11-05-20-alabama
2020,Alabama,2019-11-11-20-alabama
2020,Alabama,2019-11-15-19-rhode-island
2020,Alabama,2019-11-19-20-alabama
2020,Alabama,2019-11-27-14-alabama
2020,Alabama,2019-11-28-18-iowa-state
2020,Alabama,2019-11-29-21-alabama
2020,Alabama,2019-12-06-20-alabama
2020,Alabama,2019-12-14-14-penn-state
2020,Alabama,2019-12-18-19-samford
2020,Alabama,2019-12-21-15-alabama
2020,Alabama,2019-12-29-18-alabama
2020,Alabama,2020-01-04-18-florida
2020,Alabama,2020-01-08-19-alabama
2020,Alabama,2020-01-11-12-kentucky
2020,Alabama,2020-01-15-21-alabama
2020,Alabama,2020-01-18-15-alabama
2020,Alabama,2020-01-22-21-vanderbilt
2020,Alabama,2020-01-25-18-alabama
2020,Alabama,2020-01-29-19-louisiana-state
2020,Alabama,2020-02-01-18-alabama
2020,Alabama,2020-02-04-19-alabama
2020,Alabama,2020-02-08-18-georgia
2020,Alabama,2020-02-12-19-auburn
2020,Alabama,2020-02-15-16-alabama
2020,Alabama,2020-02-19-19-alabama
2020,Alabama,2020-02-22-20-mississippi
2020,Alabama,2020-02-25-21-mississippi-state
2020,Alabama,2020-02-29-20-alabama
2020,Alabama,2020-03-03-20-alabama
2020,Alabama,2020-03-07-14-missouri
2020,Albany (NY),2019-11-09-19-albany-ny
2020,Albany (NY),2019-11-13-19-albany-ny
2020,Albany (NY),2019-11-16-19-manhattan
2020,Albany (NY),2019-11-19-19-albany-ny
2020,Albany (NY),2019-11-22-19-quinnipiac
2020,Albany (NY),2019-11-23-16-albany-ny
2020,Albany (NY),2019-11-24-13-presbyterian
2020,Albany (NY),2019-11-30-10-albany-ny
2020,Albany (NY),2019-12-04-19-albany-ny
2020,Albany (NY),2019-12-07-19-bucknell
2020,Albany (NY),2019-12-10-19-boston-college
2020,Albany (NY),2019-12-14-19-albany-ny
2020,Albany (NY),2019-12-18-20-st-johns-ny
2020,Albany (NY),2019-12-21-14-monmouth
2020,Albany (NY),2019-12-30-19-columbia
2020,Albany (NY),2020-01-04-16-binghamton
2020,Albany (NY),2020-01-11-15-albany-ny
2020,Albany (NY),2020-01-15-19-new-hampshire
2020,Albany (NY),2020-01-18-19-stony-brook
2020,Albany (NY),2020-01-22-19-albany-ny
2020,Albany (NY),2020-01-25-15-albany-ny
2020,Albany (NY),2020-01-29-19-maryland-baltimore-county
2020,Albany (NY),2020-02-01-19-albany-ny
2020,Albany (NY),2020-02-05-19-albany-ny
2020,Albany (NY),2020-02-12-19-hartford
2020,Albany (NY),2020-02-16-13-maine
2020,Albany (NY),2020-02-20-19-albany-ny
2020,Albany (NY),2020-02-22-19-albany-ny
2020,Albany (NY),2020-02-26-19-massachusetts-lowell
2020,Albany (NY),2020-02-29-19-albany-ny
2020,Albany (NY),2020-03-03-19-vermont
2020,Albany (NY),2020-03-07-19-stony-brook
2020,Alcorn State,2019-11-05-21-depaul
2020,Alcorn State,2019-11-09-12-louisiana-monroe
2020,Alcorn State,2019-11-12-19-alcorn-state
2020,Alcorn State,2019-11-16-14-memphis
2020,Alcorn State,2019-11-19-19-north-carolina-state
2020,Alcorn State,2019-11-21-18-alcorn-state
2020,Alcorn State,2019-11-27-19-arkansas-little-rock
2020,Alcorn State,2019-12-09-19-alcorn-state
2020,Alcorn State,2019-12-16-20-tulane
2020,Alcorn State,2019-12-20-18-alcorn-state
2020,Alcorn State,2019-12-29-17-santa-clara
2020,Alcorn State,2020-01-04-18-prairie-view
2020,Alcorn State,2020-01-06-20-texas-southern
2020,Alcorn State,2020-01-11-18-alcorn-state
2020,Alcorn State,2020-01-13-20-alcorn-state
2020,Alcorn State,2020-01-18-17-mississippi-valley-state
2020,Alcorn State,2020-01-20-20-arkansas-pine-bluff
2020,Alcorn State,2020-01-25-18-alcorn-state
2020,Alcorn State,2020-01-27-20-alcorn-state
2020,Alcorn State,2020-02-01-18-southern
2020,Alcorn State,2020-02-08-18-jackson-state
2020,Alcorn State,2020-02-10-20-grambling
2020,Alcorn State,2020-02-15-18-alcorn-state
2020,Alcorn State,2020-02-17-20-alcorn-state
2020,Alcorn State,2020-02-22-19-alabama-am
2020,Alcorn State,2020-02-24-20-alabama-state
2020,Alcorn State,2020-02-29-18-alcorn-state
2020,Alcorn State,2020-03-05-20-alcorn-state
2020,Alcorn State,2020-03-07-18-alcorn-state
2020,Alcorn State,2020-03-10-21-jackson-state
2020,American,2019-11-05-19-siena
2020,American,2019-11-08-19-american
2020,American,2019-11-12-19-george-washington
2020,American,2019-11-16-19-saint-francis-pa
2020,American,2019-11-26-19-american
2020,American,2019-11-30-10-albany-ny
2020,American,2019-12-03-19-american
2020,American,2019-12-07-19-george-mason
2020,American,2019-12-17-19-mount-st-marys
2020,American,2019-12-21-14-american
2020,American,2019-12-28-12-georgetown
2020,American,2020-01-02-19-colgate
2020,American,2020-01-05-15-american
2020,American,2020-01-08-19-army
2020,American,2020-01-11-19-lehigh
2020,American,2020-01-15-19-american
2020,American,2020-01-18-16-american
2020,American,2020-01-22-19-loyola-md
2020,American,2020-01-25-14-american
2020,American,2020-01-27-19-american
2020,American,2020-02-01-14-lafayette
2020,American,2020-02-05-19-navy
2020,American,2020-02-08-14-american
2020,American,2020-02-12-19-american
2020,American,2020-02-15-14-bucknell
2020,American,2020-02-19-19-american
2020,American,2020-02-23-12-boston-university
2020,American,2020-02-26-19-american
2020,American,2020-02-29-14-holy-cross
2020,American,2020-03-05-19-american
2020,Appalachian State,2019-11-05-19-michigan
2020,Appalachian State,2019-11-07-19-appalachian-state
2020,Appalachian State,2019-11-12-19-appalachian-state
2020,Appalachian State,2019-11-15-16-appalachian-state
2020,Appalachian State,2019-11-16-15-appalachian-state
2020,Appalachian State,2019-11-18-19-north-carolina-greensboro
2020,Appalachian State,2019-11-21-19-appalachian-state
2020,Appalachian State,2019-11-26-19-east-tennessee-state
2020,Appalachian State,2019-12-03-19-appalachian-state
2020,Appalachian State,2019-12-14-12-howard
2020,Appalachian State,2019-12-19-20-south-alabama
2020,Appalachian State,2019-12-21-15-troy
2020,Appalachian State,2019-12-29-16-north-carolina-state
2020,Appalachian State,2020-01-02-19-appalachian-state
2020,Appalachian State,2020-01-04-16-appalachian-state
2020,Appalachian State,2020-01-06-19-appalachian-state
2020,Appalachian State,2020-01-09-20-texas-arlington
2020,Appalachian State,2020-01-11-17-texas-state
2020,Appalachian State,2020-01-16-19-appalachian-state
2020,Appalachian State,2020-01-18-16-appalachian-state
2020,Appalachian State,2020-01-25-14-coastal-carolina
2020,Appalachian State,2020-01-30-20-arkansas-state
2020,Appalachian State,2020-02-01-15-arkansas-little-rock
2020,Appalachian State,2020-02-06-19-appalachian-state
2020,Appalachian State,2020-02-08-16-appalachian-state
2020,Appalachian State,2020-02-13-19-georgia-state
2020,Appalachian State,2020-02-15-16-georgia-southern
2020,Appalachian State,2020-02-20-19-appalachian-state
2020,Appalachian State,2020-02-22-16-appalachian-state
2020,Appalachian State,2020-02-29-16-appalachian-state
2020,Appalachian State,2020-03-03-20-louisiana-monroe
2020,Appalachian State,2020-03-09-19-appalachian-state
2020,Appalachian State,2020-03-11-20-texas-state
2020,Arizona State,2019-11-08-22-colorado
2020,Arizona State,2019-11-14-22-arizona-state
2020,Arizona State,2019-11-17-18-arizona-state
2020,Arizona State,2019-11-23-14-st-johns-ny
2020,Arizona State,2019-11-24-13-arizona-state
2020,Arizona State,2019-11-26-19-princeton
2020,Arizona State,2019-12-03-23-san-francisco
2020,Arizona State,2019-12-07-21-arizona-state
2020,Arizona State,2019-12-11-22-arizona-state
2020,Arizona State,2019-12-14-20-arizona-state
2020,Arizona State,2019-12-18-21-arizona-state
2020,Arizona State,2019-12-21-20-arizona-state
2020,Arizona State,2019-12-28-15-arizona-state
2020,Arizona State,2020-01-04-21-arizona
2020,Arizona State,2020-01-09-23-oregon-state
2020,Arizona State,2020-01-11-22-oregon
2020,Arizona State,2020-01-16-21-arizona-state
2020,Arizona State,2020-01-18-21-arizona-state
2020,Arizona State,2020-01-25-21-arizona-state
2020,Arizona State,2020-01-29-23-washington-state
2020,Arizona State,2020-02-01-22-washington
2020,Arizona State,2020-02-06-23-arizona-state
2020,Arizona State,2020-02-08-22-arizona-state
2020,Arizona State,2020-02-13-23-stanford
2020,Arizona State,2020-02-16-18-california
2020,Arizona State,2020-02-20-21-arizona-state
2020,Arizona State,2020-02-22-20-arizona-state
2020,Arizona State,2020-02-27-23-ucla
2020,Arizona State,2020-02-29-20-southern-california
2020,Arizona State,2020-03-05-21-arizona-state
2020,Arizona State,2020-03-07-18-arizona-state
